Процесс;Модуль;Функционал;Дополнительный функционал (add-on) - для информации, в базовый расчет включено не будет);;;
РЕЛЭКС Прогнозирование спроса;Базовое прогнозирование;"Автоматизированный расчет прогноза спроса:
- Механизм прогнозирования на основе машинного обучения
- Гибкость, возможность расширения и легкая настройка для каждого клиента в зависимости от его потребностей
- Возможности обогащения данных для поддержки прогнозирования спроса, включая, помимо прочего, предварительную обработку погодных данных, оценку отсутствующих в ассортименте данных, определение сдвига уровня и выявление аномалий
- Автоматический поиск референтов для прогнозирования новых продуктов

Пользовательский интерфейс RELEX для повышения эффективности планирования:
- Наглядные информационные дашборды на различных уровнях агрегирования для поддержки анализа и отчетности
- Возможность ручной корректировки прогноза
- Визуализация прогнозов, показывающая, как на прогноз влияют различные факторы, воздействующие на спрос
- Управление на основе исключений для максимизации ценности, которую может предоставить планировщик. Управление на основе исключений может быть настроено RELEX, партнером или клиентом с помощью Configuration Kit.


Совместное использование прогнозов: Клиенты могут делиться прогнозами спроса и заказа за пределами своей компании (обычно поставщики, клиенты).
- Автоматическая отправка в формате Excel или CSV по электронной почте или SFTP
- Ручной или запланированный экспорт предварительно определенных представлений

";"Add-on: Прогнозирование на основе погодных условий:
- Прогнозирование краткосрочного влияния погоды на спрос для пополнения запасов в магазине. 
- Автоматическое определение чувствительных к погодным условиям товаров / групп товаров
- РЕЛЭКС использует API Meteomatics для получения данных местного прогноза погоды: например, умеренный климат, количество осадков

Add-on: Розничная спецификация компонентов (ВОМ):
- Преобразование рецептов конечных продуктов в заказы с указанием правильного количества каждого компонента/накладной на материалы (BOM) для своевременного производства и сокращения отходов. 
- Управление BOM в RELEX, которое можно использовать для прогнозирования и заказа компонентов, чтобы сократить время планирования. 
- Отсутствие ограничений на количество компонентов или подкомпонентов в структуре продукта
- Настраиваемая информация о использования каждого компонента 
- Создание точных прогнозов спроса, учитывающих время выполнения заказа и процент использования различных компонентов для повышения доступности. 
- Возможность формирования заказов, учитывающих спрос на всех уровнях структуры продукта

Add-on: Внутридневное прогнозирование: Обеспечивает прогнозирование спроса на уровне товар-место-день-час с помощью профилей внутридневного спроса для поддержки внутридневного планирования.
- Помогает планировать пополнение запасов сверхсвежих товаров или быстро реализуемых товаров с ограниченным пространством на полке, которые могут потребовать повторного заполнения в течение дня.
- Помогает детально планировать ежедневные операции, чтобы избежать ограничений по пропускной способности, например, при загрузке грузовиков, комплектации, размещении товаров на полках.
- Помогает сформировать более детальное представление о потребностях в рабочей силе";;;
;"РЕЛЭКС Интегрированные 
цепочки поставок";"Базовое решение:
- Прогноз РЦ основан на прогнозах заказов магазинов (а не на прошлых поставках или продажах в магазинах), что повышает точность планирования РЦ, особенно когда спрос в магазинах меняется.
- Модель кросс-докинга заказов, в которой предложения по заказам магазинов объединяют графики поставок между поставщиком и РЦ и РЦ-магазином для продуктов, которые не хранятся в РЦ.
- Интегрированная модель медленных товаров (Монте-Карло), применяемая на уровне РЦ для равномерного распределения прогнозируемых заказов на пополнение запасов медленно движущихся товаров во времени.
- Распределение дефицита для автоматического распределения товаров по магазинам оптимизированным и контролируемым образом, когда запасы на складе РЦ ограничены. Это позволит свести к минимуму потери продаж в магазинах.
- Предоставление наглядных данных о РЦ обеспечивает контекст ситуации в РЦ для каждого подключенного магазина. Данные о складских запасах в магазинах, ожидаемых заказах на закупку и т. д. улучшают работу пользователей.

Advanced:
- Ограничения поставок обеспечивают визуальное представление о влиянии будущих ограничений поставок. Нехватка и задержки поставок на верхних уровнях (например, на складах) прогнозируются на нижние уровни цепочки поставок (например, на магазины). Это помогает клиентам РЕЛЭКС F&R снизить дефицит товаров на складах и сократить потери продаж. 
- Интегрированные адаптивные параметры заказа для РЦ, которые рассчитывают страховые запасы DC на основе будущего спроса на уровне магазина и параметров пополнения запасов, чтобы снизить стоимость запасов DC без снижения доступности в магазинах.";"Add-on: Pick-to-Zero
- Автоматическое перераспределение определенных продуктов по магазинам при их поступлении в РЦ позволяет минимизировать ручную работу и повысить эффективность планирования. Используя свежие продукты, ритейлер может максимально увеличить срок годности товара в магазинах.  
- Настраиваемая логика распределения для каждого бизнеса
- Наглядное представление решений по системе Pick-to-Zero в пользовательском интерфейсе";;;
"РЕЛЭКС Пополнение 
запасов";Пополнение запасов;"Базовое решение:
- Расчет предложений по заказам на пополнение запасов для автоматического расчета предложений по заказам для каждой товарной позиции
- Расчет прогнозируемых заказов, т.е. автоматический расчет предложений по заказам на будущие периоды и построение прогнозов для будущих запасов 
- Управление графиками поставок, сроками, календарями и блоками заказов как важными основными данными для пополнения запасов
- Различные модели заказов на пополнение запасов позволяют определить логику расчета заказов для каждой товарной позиции. Наиболее типичной является MRP, а CO-MRP характерна для складов, но существует и множество других моделей (кросс-докинг - часть интегрированных поставок). Координированный заказ (CO-MRP) для объединения заказа нескольких продуктов для одной поставки и, таким образом, оптимизации транспортных и погрузочно-разгрузочных расходов при получении
- Оптимизация параметров заказа для оптимизации страхового запаса для каждого цикла заказа на основе будущего спроса (адаптивные параметры заказа)
- Экономическая оптимизация количества заказа (EOQ) для складов, чтобы рассчитать оптимальную минимальную партию поставки для каждого предложения заказа
- Управление жизненным циклом продукта для учета реферетов, замен, вводов и выводов товаров при расчете предложений по заказам на пополнение
- Резервные предложения по заказам, которые являются прогнозируемыми заказами и используются как фактические предложения по заказам в случае, если критические данные не доступны вовремя для расчета предложений по заказам
- Пополнение с учетом пространства на полках, позволяющее учитывать при заказе доступное пространство на полке и, таким образом, минимизировать потребность в использовании складов в подсобных помещениях и поддерживать привлекательность выкладки.
- Исключения при пополнении запасов, т. е. отмеченные аномалии, отображаемые в дашбордах, и предложения пользователю по их устранению для повышения эффективности и концентрации внимания.

Advanced (необходимо оценить наличие данных у клиента, для решения о развитии базового функционала до Advanced).
- Уменьшение запасов для оптимизации запасов при выводов товаров, закрытии магазинов и изменении ассортимента, чтобы избежать избытка запасов после вывода, минимизируя при этом потери продаж
- Множественные размеры партий для автоматического выбора оптимальных размеров партий для каждого заказа, чтобы сбалансировать затраты на обработку, риск нарушения полочного пространства и затраты на хранение запасов
- Оптимизация минимальных поставок для сокращения рядов поставок с минимальным влиянием на уровень запасов
- Оптимизация цикла заказа для определения оптимальной последовательности заказов с целью минимизации стпочек заказов";"Add-on: Внутридневное пополнение запасов
Оптимизированные заказы, предлагаемые автоматически для определенных товар-локаций несколько раз в день:
- Меньше порчи свежих товаров при обеспечении их доступности
- Обеспечение доступности быстро движущихся товаров при внутридневных ограничениях пропускной способности, например, при погрузке в грузовики, комплектации или складировании в РЦ, размещении на полках или стеллажах в магазине.
Оптимизированные заказы, предлагаемые автоматически для определенных товар-локаций в выбранное время в день:
- Повышение доступности товаров с небольшим запасом или без него";;;
;"Оптимизация свежих
 товаров";"Базовое решение:
- Прогнозы порчи и оставшегося срока годности на уровне SKU: автоматическое использование при расчете заказов на пополнение запасов для обеспечения достаточного количества в заказах.
- Прогнозируемая порча на уровне партии на РЦ и принудительное распределение: снижение риска порчи товара на складе.
- Расчет баланса партии и оценка порчи на уровне партии в магазине для дальнейшего улучшения пополнения запасов свежих товаров в магазинах
- Адаптивные параметры страховых запасов для свежих продуктов: расчет резервного запаса, оптимизирующий между общей ожидаемой стоимости потери продаж и порчи с учетом прогноза продаж

Advanced:
Оценка модели потребления запасов в магазине (FIFO-rate) на основе Машинного обучения: Улучшение прогнозов порчи на уровне партии товара в магазине, используемых для пополнения запасов
Предиктивная инвентаризация: Оценка товарных запасов на уровне местоположения и выявление аномалий для пополнения запасов в магазине на основе данных о транзакциях в случае низких остатков (особенно для свежих продуктов):
- Сокращение и более целенаправленная ручная инвентаризация в магазине
- Сокращение рабочего времени магазина, используемого для ручного оформления заказа / внесения изменений в предложение
- Более точные данные об остатках товаров используются для расчета заказов на пополнение запасов, что способствует повышению доступности и снижению порчи товаров";;;;
;"Сезонное
 планирование";"Базовое решение:
- Оптимизированный процесс распределения запасов сезонной продукции по магазинам синхронно с закупками и пополнением магазинов.
- Распределение необходимого количества сезонных товаров в каждый магазин непосредственно перед началом сезона, чтобы создать витрины или подготовиться к пиковым распродажам в разгар сезона.
- Единовременное распределение с учетом, например, ожидаемого сезонного спроса на продукт и магазин, продолжительности сезона, времени выполнения заказа, доступных запасов, включая открытые заказы на покупку и настраиваемые правила.
- Распределение остатков товаров РЦ по магазинам до конца сезона, чтобы распродать их и освободить место для новых товаров в РЦ.

Advanced: 
- Оптимизация уценок: Позволяет клиентам минимизировать остаточные запасы после сезонов и изменений ассортимента за счет автоматической идентификации продуктов для уценки и создания кампаний по распродаже с оптимизированной ценой в конце жизненного цикла продукта.";;;;
;Планирование многоканального спроса ритейлера;"Базовое решение:
- РЦ многоканальное прогнозирование - повышает точность и детализацию прогнозирования для пополнения запасов и планирования цепочки поставок, что способствует повышению доступности и оборачиваемости, улучшению обслуживания и оптимальной стоимости запасов.
- Виртуальное рингфенсинг на РЦ - обеспечивает высокую доступность товаров для разных каналов благодаря оптимальному распределению запасов на основе спроса на конкретный канал.

Advanced: 
- Ритейлерам, у которых есть канал онлайн-продаж, необходимо составлять отдельные прогнозы для продаж в магазине и онлайн-продаж.";;;;
;"Промоакции 
и события";"Прогнозирование промоакций и событий:
- Повышает точность прогнозов за счет учета влияния промоакций и крупных событий (таких как Пасха и Черная пятница) на спрос.
- Помогает детально понять влияние на бизнес различных промоакций, таких как ценовые скидки, оптовые скидки, выкладки в магазинах, а также других маркетинговых мероприятий
- Более упорядоченный и прозрачный процесс планирования спроса
- Пополнение запасов в связи с акциями и событиями
Оптимизация продаж, запасов, отходов и операционной эффективности в течение всего периода проведения акции или мероприятия, включая 
- Наращивание запасов с предварительным пополнением 
- Пополнение запасов во время промо-акций и мероприятий
Обеспечивает оптимизированный процесс управления событиями и промоакциями для поддержки планирования запасов и пополнения запасов";"Add-on: 
- Автоматизированное обнаружение и моделирование каннибализации в рекламных кампаниях для прогнозирования 
- Уменьшение порчи продуктов, спрос на которые снижается, когда в кампании участвует каннибализирующий продукт.
- Определяемые пользователем отношения рекламных ореолов и их моделирование в прогнозе
- Повышение продаж и доступности продуктов, спрос на которые увеличивается, когда в кампании участвует продукт-галоид
";;;
;Оптимизация закупок;"Пополнение запасов несколькими поставщиками
- Позволяет автоматически выбирать лучшего поставщика (поставщиков) с учетом соглашений с поставщиками, смены поставщиков и графиков поставок, а также распределения целевых % и квот по времени.
Смена поставщиков с учетом времени 
- Позволяет планировать сезонные изменения структуры сети и поставщиков (смена поставщиков и РЦ).
Ограничения по контейнерам / CO-MRP 
- Повышает точность планирования пополнения запасов за счет прогнозов, учитывающих ограничения по контейнерам и другим скоординированным заказам на закупку (например, моделируемые в CO-MRP).
Инвестиционная покупка
- Использование преимуществ будущих изменений закупочных цен и промо-акций поставщиков для повышения маржи, учитывая при этом стоимость дополнительного хранения запасов.";;;;
;Оптимизация полочного пространства;"Оптимизация полок позволяет консолидировать поставки товаров, выставленных в одной зоне магазина, к определенным дням. Этот подход применяется для товаров, расположенных в центре магазина, и товаров с достаточной вместимостью полок. 
Ключевые преимущества включают:
- Оптимизация и эффективность работы на полках за счет консолидации дней пополнения запасов для товаров, выставленных на одной и той же зоне полок 
- Повышение эффективности работы персонала за счет уменьшения общего количества строк заказов (за счет более редких заказов, но больших партий) и количества касаний полок
- Повышение эффективности использования ресурсов за счет сбалансированных входящих поставок в течение недели 
- Повышение удовлетворенности клиентов и увеличение продаж благодаря лучшему наличию товара на полке.

Advanced: 
- Оптимизация на основе искусственного интеллекта, позволяющая балансировать между противоречивыми целями и управлять сложными ограничениями
- Автоматически учитывает все необходимые данные: прогнозы продаж, параметры пополнения запасов, графики поставок, время порчи, место на полке. ";;;;
;Оптимизация мощностей;"- Сглаживание потока поставок 
- Непрерывное сглаживание для балансировки краткосрочных поставок (в течение недели)
- Сглаживание на основе лимитов для балансировки поставок на более длительный срок (сезонные колебания, закрытие заводов и задержки в поставках от поставщиков)
- Сглаживание заказов магазина для балансировки исходящих поставок из РЦ.
- Приоритетность строк заказов позволяет ритейлерам устанавливать приоритет предложения заказа в случае ограничений (например, возможностей комплектации в РЦ). ";;;;
